x_water,molality,gamma_pm_or_miac_label
0.9109,0.004014,0.919
0.9109,0.004499,0.918
0.9109,0.005,0.913
0.9109,0.006003,0.906
0.9109,0.007006,0.894
0.9109,0.009002,0.883
0.9109,0.0103,0.875
0.9109,0.01894,0.844
0.9109,0.02999,0.818
0.9109,0.04005,0.788
0.9109,0.04997,0.776
0.9109,0.06002,0.759
0.9109,0.07005,0.753
0.9109,0.08302,0.731
0.9109,0.08994,0.726
0.9109,0.09987,0.723
0.9109,0.1005,0.73
0.9109,0.1999,0.668
0.9109,0.3023,0.646
0.9109,0.3997,0.617
0.9109,0.4999,0.61
0.9109,0.5972,0.592
0.9109,0.9021,0.582
0.9109,1.002,0.57
0.9109,1.179,0.574
0.9109,1.401,0.562
0.9109,1.6,0.574
0.9109,2,0.58
0.7932,0.002999,0.908
0.7932,0.003996,0.894
0.7932,0.005001,0.887
0.7932,0.007,0.866
0.7932,0.008958,0.853
0.7932,0.01997,0.804
0.7932,0.03055,0.768
0.7932,0.04,0.737
0.7932,0.05001,0.716
0.7932,0.06,0.699
0.7932,0.07001,0.691
0.7932,0.07998,0.674
0.7932,0.09003,0.665
0.7932,0.09988,0.648
0.7932,0.1998,0.6
0.7932,0.2996,0.563
0.7932,0.4001,0.538
0.7932,0.5002,0.518
0.7932,0.6016,0.508
0.7932,0.8001,0.49
0.7932,0.8998,0.481
0.7932,1,0.479
0.7932,1.21,0.464
0.7932,1.4,0.468
0.7932,1.498,0.465
0.6303,0.004001,0.863
0.6303,0.005,0.85
0.6303,0.006001,0.832
0.6303,0.007,0.821
0.6303,0.007997,0.808
0.6303,0.02,0.726
0.6303,0.03,0.684
0.6303,0.04,0.659
0.6303,0.05,0.635
0.6303,0.06,0.618
0.6303,0.06999,0.601
0.6303,0.08001,0.589
0.6303,0.09001,0.575
0.6303,0.1,0.566
0.6303,0.2,0.492
0.6303,0.3,0.456
0.6303,0.4,0.429
0.6303,0.5,0.415
0.6303,0.5997,0.399
0.6303,0.7,0.392
0.6303,0.7999,0.382
0.6303,0.9,0.377
0.6303,0.9996,0.375
0.6303,1.027,0.368
0.3899,0.003001,0.791
0.3899,0.004,0.764
0.3899,0.005,0.745
0.3899,0.006,0.72
0.3899,0.007,0.705
0.3899,0.008002,0.691
0.3899,0.008999,0.674
0.3899,0.01,0.659
0.3899,0.03999,0.503
0.3899,0.04999,0.472
0.3899,0.06001,0.466
0.3899,0.07,0.455
0.3899,0.08001,0.437
0.3899,0.08999,0.427
0.3899,0.1,0.411
