component,H2O,Acetic acid,1-Pentanol,1-Hexanol,Pentyl Acetate,Hexyl Acetate,A,B,C
H2O,0,-0.1247,0.00016*T-0.0461,0.000404*T-0.1103476,-0.0228,0.0015*T-0.457225,0,0,0
Acetic acid,-0.1247,0,-0.1,-0.033,-0.1,-0.0004*T+0.03926,0,0,0
1-Pentanol,0.00016*T-0.0461,-0.1,0,0,-0.0095,0,0,0,0
1-Hexanol,0.000404*T-0.1103476,-0.033,0,0,0,-0.0042,0,0,0
Pentyl Acetate,-0.0228,-0.1,-0.0095,0,0,0,0,0,0
Hexyl Acetate,0.0015*T-0.457225,-0.0004*T+0.03926,0,-0.0042,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0
