component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW,source
H2O,1.2047,2.7927+(10.11*exp(-0.01775*T)-1.417*exp(-0.01146*T)),353.95,2425.7,0.04509,2B,0,78.09,0,1.5,0.01801528,Rezaee2026 aqueous context; Ascani2023 Table1 default fill
Li+,1,2.8449,360.0,0,0,,1,8,2.784,1,0.00694,Rezaee2026 species manifest
Na+,1,2.41,646.1,0,0,,1,8,3.445,1,0.02298,Rezaee2026 species manifest
Cl-,1,3.06,47.3,0,0,,-1,8,4.1,1,0.03545,Rezaee2026 species manifest
H+,1,1.0,100.0,0,0,,1,8,1.0,1,0.001008,Rezaee2026 species manifest
OH-,1,3.0,100.0,0,0,,-1,8,3.0,1,0.017007,Rezaee2026 species manifest
NH4+,1,3.5740,230.0,0,0,,1,8,3.0,1,0.018038,Rezaee2026 species manifest
DES,10.9898,3.1570,305.09,6900,0.15,2B,0,1,0,1,0.62246,Rezaee2026_Table4
TOPO,13.2090,3.7550,395.55,1520,0.01,2B,0,1,0,1,0.38664,Rezaee2026_Table6
RLi,11.1223,3.8327,392.09,0,0,,0,1,0,1,0.100,Rezaee2026_Table8
RNa,11.1504,4.0254,427.44,0,0,,0,1,0,1,0.100,Rezaee2026_Table8
