salt,temperature_K,molality,osmotic
KCl,273.15,0.299889746,0.900445434
KCl,273.15,0.498346196,0.890200445
KCl,273.15,0.599779493,0.88752784
KCl,273.15,0.696802646,0.885300668
KCl,273.15,0.899669239,0.883073497
KCl,273.15,0.996692393,0.881291759
KCl,273.15,1.503858875,0.881737194
KCl,273.15,1.997794928,0.885746102
KCl,273.15,2.500551268,0.891982183
KCl,273.15,2.994487321,0.90311804
KCl,273.15,3.501653804,0.914253898
KCl,273.15,4,0.927616927
KCl,298.15,0,0.987305122
KCl,298.15,0.004410143,0.975723831
KCl,298.15,0.008820287,0.967260579
KCl,298.15,0.044101433,0.939198218
KCl,298.15,0.097023153,0.926726058
KCl,298.15,0.493936053,0.9
KCl,298.15,0.992282249,0.897327394
KCl,298.15,1.393605292,0.901781737
KCl,298.15,1.794928335,0.907572383
KCl,298.15,1.993384785,0.911581292
KCl,298.15,2.496141125,0.922271715
KCl,298.15,2.998897464,0.93518931
KCl,298.15,3.49724366,0.948997773
KCl,298.15,4,0.965033408
NaCl,273.15,0.097023153,0.932516704
NaCl,273.15,0.202866593,0.920489978
NaCl,273.15,0.295479603,0.914699332
NaCl,273.15,0.3969129,0.911581292
NaCl,273.15,0.50275634,0.910244989
NaCl,273.15,0.599779493,0.910244989
NaCl,273.15,0.701212789,0.910690423
NaCl,273.15,0.798235943,0.911135857
NaCl,273.15,0.899669239,0.912917595
NaCl,273.15,0.996692393,0.914699332
NaCl,273.15,1.195148842,0.919599109
NaCl,273.15,1.398015436,0.925389755
NaCl,273.15,1.499448732,0.928953229
NaCl,273.15,1.600882029,0.932962138
NaCl,273.15,1.803748622,0.940979955
NaCl,273.15,1.997794928,0.949888641
NaCl,273.15,2.496141125,0.976614699
NaCl,273.15,3.003307607,1.006904232
NaCl,273.15,3.49724366,1.041202673
NaCl,273.15,3.995589857,1.076837416
